J. R. R. Tolkien	The Silmarillion	1977, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1978	fantasy-fiction
Patricia A. McKillip	Harpist in the Wind	1979, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1980	fantasy-fiction
Robert Silverberg	Lord Valentine's Castle	1980, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1981	fantasy-fiction
Gene Wolfe	The Claw of the Conciliator	1981, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1982	fantasy-fiction
Gene Wolfe	The Sword of the Lictor	1982, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1983	fantasy-fiction
Marion Zimmer Bradley	The Mists of Avalon	1983, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1984	fantasy-fiction
Robert A. Heinlein	Job: A Comedy of Justice	1984, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1985	fantasy-fiction
Roger Zelazny	Trumps of Doom	1985, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1986	fantasy-fiction
Gene Wolfe	Soldier of the Mist	1986, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1987	fantasy-fiction
Orson Scott Card	Seventh Son	1987, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1988	fantasy-fiction
Orson Scott Card	Red Prophet	1988, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1989	fantasy-fiction
Orson Scott Card	Prentice Alvin	1989, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1990	fantasy-fiction
Ursula K. Le Guin	Tehanu: The Last Book of Earthsea	1990, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1991	fantasy-fiction
Sheri S. Tepper	Beauty	1991, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1992	fantasy-fiction
Tim Powers	Last Call	1992, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1993	fantasy-fiction
Peter S. Beagle	The Innkeeper's Song	1993, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1994	fantasy-fiction
Michael Bishop	Brittle Innings	1994, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1995	fantasy-fiction
Orson Scott Card	Alvin Journeyman	1995, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1996	fantasy-fiction
George R. R. Martin	A Game of Thrones	1996, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1997	fantasy-fiction
Tim Powers	Earthquake Weather	1997, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1998	fantasy-fiction
George R. R. Martin	A Clash of Kings	1998, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1999	fantasy-fiction
J. K. Rowling	Harry Potter and the Prisoner of Azkaban	1999, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2000	fantasy-fiction
George R. R. Martin	A Storm of Swords	2000, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2001	fantasy-fiction
Neil Gaiman	American Gods	2001, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2002	fantasy-fiction
China Miéville	The Scar	2002, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2003	fantasy-fiction
Lois McMaster Bujold	Paladin of Souls	2003, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2004	fantasy-fiction
China Miéville	Iron Council	2004, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2005	fantasy-fiction
Neil Gaiman	Anansi Boys	2005, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2006	fantasy-fiction
Ellen Kushner	The Privilege of the Sword	2006, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2007	fantasy-fiction
Terry Pratchett	Making Money	2007, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2008	fantasy-fiction
Ursula K. Le Guin	Lavinia	2008, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2009	fantasy-fiction
China Miéville	The City & the City	2009, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2010	fantasy-fiction
China Miéville	Kraken	2010, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2011	fantasy-fiction
George R. R. Martin	A Dance with Dragons	2011, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2012	fantasy-fiction
Charles Stross	The Apocalypse Codex	2012, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2013	fantasy-fiction
Neil Gaiman	The Ocean at the End of the Lane	2013, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2014	fantasy-fiction
Katherine Addison	The Goblin Emperor	2014, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2015	fantasy-fiction
Naomi Novik	Uprooted	2015, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2016	fantasy-fiction
Charlie Jane Anders	All the Birds in the Sky	2016, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2017	fantasy-fiction
N. K. Jemisin	The Stone Sky	2017, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2018	fantasy-fiction
Naomi Novik	Spinning Silver	2018, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2019	fantasy-fiction
Seanan McGuire	Middlegame	2019, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2020	fantasy-fiction
N. K. Jemisin	The City We Became	2020, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2021	fantasy-fiction
Fonda Lee	Jade Legacy	2021, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2022	fantasy-fiction
R. F. Kuang	Babel, or the Necessity of Violence	2022, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2023	fantasy-fiction
Martha Wells	Witch King	2023, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2024	fantasy-fiction
T. Kingfisher	A Sorceress Comes to Call	2024, Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2025	fantasy-fiction
