Author	Title	Tags	Directory
Samuel R. Delany	Babel-17	1966, Nebula-Award-for-Best-Novel, science-fiction, science fiction, Ace Books, Novel, novel, Nebula-Award-for-Best-Novel1966	science-fiction
Daniel Keyes	Flowers for Algernon	1966, Nebula-Award-for-Best-Novel1966, Nebula-Award-for-Best-Novel, 	science-fiction
Samuel R. Delany	The Einstein Intersection	1967, Nebula-Award-for-Best-Novel, science-fiction, science fiction, Ace Books, Novel, novel, Nebula-Award-for-Best-Novel1967	science-fiction
Alexei Panshin	Rite of Passage	1968, Nebula-Award-for-Best-Novel1968, Nebula-Award-for-Best-Novel, Ace Books, Novel, science-fiction	science-fiction
Robert Silverberg	A Time of Changes	1971, Nebula-Award-for-Best-Novel1971, Nebula-Award-for-Best-Novel, Galaxy Science Fiction, Novel, science-fiction	science-fiction
Frederik Pohl	Man Plus	1976, Nebula-Award-for-Best-Novel1976, The Magazine of Fantasy, science-fiction, Science Fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Novel, Random House	science-fiction
Gregory Benford	Timescape	1980, Nebula-Award-for-Best-Novel, Schuster, science-fiction, science fiction, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Novel, novel, Simon, Nebula-Award-for-Best-Novel1980	science-fiction
Gene Wolfe	The Claw of the Conciliator	1981, Nebula-Award-for-Best-Novel1981, Nebula-Award-for-Best-Novel, science-fiction, Timescape Books, Fantasy, Novel, Fiction, World-Fantasy-Award-finalist, Locus-Award-For-Best-Fantasy-Novel, Timescape	science-fiction
Michael Bishop	No Enemy But Time	1982, Nebula-Award-for-Best-Novel1982, Nebula-Award-for-Best-Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, science-fiction, Timescape Books, Novel, Timescape	science-fiction
Pat Murphy	The Falling Woman	1987,  Nebula-Award-for-Best-Novel1987, Tor Books, Nebula-Award-for-Best-Novel, Novel, science-fiction, Nebula-Award-for-Best-Novel1987	science-fiction
Lois McMaster Bujold	Falling Free	1988, Nebula-Award-for-Best-Novel1988, Nebula-Award-for-Best-Novel, science-fiction, Novel, Fiction, Analog Science Fact	science-fiction
Elizabeth Ann Scarborough	The Healer's War	1989, Nebula-Award-for-Best-Novel1989, Nebula-Award-for-Best-Novel, Doubleday Foundation, Novel, science-fiction	science-fiction
Ursula K. Le Guin	Tehanu: The Last Book of Earthsea	1990, Nebula-Award-for-Best-Novel1990, Nebula-Award-for-Best-Novel, science-fiction, Novel, Macmillan Publishers, Fiction, Locus-Award-For-Best-Fantasy-Novel	science-fiction
Michael Swanwick	Stations of the Tide	1991, Nebula-Award-for-Best-Novel1991, Nebula-Award-for-Best-Novel, Asimov's Science Fiction, science-fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Novel, William Morrow and Company	science-fiction
Kim Stanley Robinson	Red Mars	1993, Nebula-Award-for-Best-Novel, science fiction, science-fiction, Novel, novel, Bantam Spectra, Nebula-Award-for-Best-Novel1993	science-fiction
Greg Bear	Moving Mars	1994, Nebula-Award-for-Best-Novel1994, Nebula-Award-for-Best-Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, science-fiction, Novel, Tor Books	science-fiction
Robert J. Sawyer	The Terminal Experiment	1995, Nebula-Award-for-Best-Novel1995, Nebula-Award-for-Best-Novel, HarperPrism, Novel, science-fiction	science-fiction
Nicola Griffith	Slow River	1996, Nebula-Award-for-Best-Novel1996, Nebula-Award-for-Best-Novel, science-fiction, Novel, Del Rey Books	science-fiction
Vonda N. McIntyre	The Moon and the Sun	1997, Nebula-Award-for-Best-Novel1997, Nebula-Award-for-Best-Novel, Pocket Books, Novel, science-fiction	science-fiction
Octavia E. Butler	Parable of the Talents	1999, Nebula-Award-for-Best-Novel, science-fiction, Novel, Seven Stories Press, Nebula-Award-for-Best-Novel1999	science-fiction
Greg Bear	Darwin's Radio	2000, Nebula-Award-for-Best-Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, science-fiction, Novel, Del Rey Books, Nebula-Award-for-Best-Novel2000	science-fiction
Catherine Asaro	The Quantum Rose	2001, Tor Books, Nebula-Award-for-Best-Novel, Novel, science-fiction, Nebula-Award-for-Best-Novel2001	science-fiction
Elizabeth Moon	The Speed of Dark	2003, Ballantine Books, Nebula-Award-for-Best-Novel, Novel, science-fiction, Nebula-Award-for-Best-Novel2003	science-fiction
Joe Haldeman	Camouflage	2005, Nebula-Award-for-Best-Novel, Analog Science Fiction and Fact, Novel, science-fiction, Nebula-Award-for-Best-Novel2005	science-fiction
Jack McDevitt	Seeker	2006, Nebula-Award-for-Best-Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, science-fiction, Ace Books, Novel, Nebula-Award-for-Best-Novel2006	science-fiction
Ursula K. Le Guin	Powers	2008, Nebula-Award-for-Best-Novel, Harcourt, Novel, science-fiction, Nebula-Award-for-Best-Novel2008	science-fiction
Kim Stanley Robinson	2312	2012, Orbit Books, Nebula-Award-for-Best-Novel2012, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
Jeff VanderMeer	Annihilation	2014, Nebula-Award-for-Best-Novel, science-fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Novel, FSG Originals, Farrar, Straus and Giroux, Nebula-Award-for-Best-Novel2014	science-fiction
Naomi Novik	Uprooted	2015, Nebula-Award-for-Best-Novel, science-fiction, Fantasy, Novel, Fiction, World-Fantasy-Award-finalist, Del Rey Books, Locus-Award-For-Best-Fantasy-Novel, Nebula-Award-for-Best-Novel2015	science-fiction
Charlie Jane Anders	All the Birds in the Sky	2016, Nebula-Award-for-Best-Novel, science-fiction, Novel, Tor Books, Locus-Award-For-Best-Fantasy-Novel, Titan Books, Nebula-Award-for-Best-Novel2016	science-fiction
Sarah Pinsker	A Song for a New Day	2019, Nebula-Award-for-Best-Novel, Berkley Press, Novel, science-fiction, Nebula-Award-for-Best-Novel2019	science-fiction
P. Djèlí Clark	A Master of Djinn	2021, Nebula-Award-for-Best-Novel2021, Nebula-Award-for-Best-Novel, science-fiction, Novel, Tor.com Publishing, World-Fantasy-Award-finalist	science-fiction
R. F. Kuang	Babel: Or the Necessity of Violence: An Arcane History of the Oxford Translators' Revolution	2022, Nebula-Award-for-Best-Novel, Backwell's Books of the Year2022, Alex Award2022, Alex Award, British Book Award2023, Locus Award2023, Locus-Award-For-Best-Fantasy-Novel2023, Locus-Award-For-Best-Fantasy-Novel, British Book Award,  Backwell's Books of the Year, Harper Voyager, Novel, science-fiction, Nebula-Award-for-Best-Novel2022	science-fiction
Vajra Chandrasekera	The Saint of Bright Doors	2023, Tordotcom, Nebula-Award-for-Best-Novel, Novel, science-fiction, Nebula-Award-for-Best-Novel2023	science-fiction
John Wiswell	Someone You Can Build a Nest in	2024, DAW Books, Nebula-Award-for-Best-Novel2024, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
